cwe_key,cwe_name,cwe_description
CWE-1255,CWE-1255,CWE-1255 Comparison Logic is Vulnerable to Power Side-Channel Attacks
CWE-1256,CWE-1256,CWE-1256 - Improper Restriction of Software and Firmware Updates | CWE-1256: Improper Restriction of Software Interfaces to Hardware Features | Improper Restriction of Software Interfaces to Hardware Features
CWE-1257,CWE-1257,CWE-1257 Improper Access Control Applied to Mirrored or Aliased Memory Regions | CWE-1257: Improper Access Control Applied to Mirrored or Aliased Memory Regions
CWE-1258,CWE-1258,CWE-1258 Exposure of Sensitive System Information Due to Uncleared Debug Information | CWE-1258: Exposure of Sensitive System Information Due to Uncleared Debug Information | Exposure of sensitive system information due to uncleared debug information
CWE-1259,CWE-1259,CWE-1259 Improper Restriction of Security Token Assignment | CWE-1259: Improper Restriction of Security Token Assignment
CWE-126,CWE-126,"BUFFER OVER-READ CWE-126 | Buffer Over-read | Buffer Over-read (CWE-126) | Buffer Overread (CWE-126) | CWE-126 | CWE-126 Buffer Over-read | CWE-126: Buffer Ovead | CWE-126: Buffer Over-read | Denial of Service, Integrity Violation (CWE-126) | Denial of service | Stack buffer over-read (CWE-126) | cwe-126 Buffer Over-read"
CWE-1260,CWE-1260,CWE-1260  Improper Handling of Overlap Between Protected Memory Ranges | CWE-1260 Improper Handling of Overlap Between Protected Memory Ranges | Improper Handling of Overlap Between Protected Memory Ranges
CWE-1262,CWE-1262,CWE-1262  Register Interface Allows Software Access to Sensitive Data or Security Settings | CWE-1262 Improper Access Control for Register Interface | CWE-1262: Improper Access Control for Register Interface | Improper Access Control for Register Interface
CWE-1263,CWE-1263,CWE-1263 Improper Physical Access Control | CWE-1263: Improper Physical Access Control | Improper Physical Access Control
CWE-1264,CWE-1264,CWE-1264 Hardware Logic with Insecure De-Synchronization between Control and Data Channels | Hardware Logic with Insecure De-Synchronization between Control and Data Channels
CWE-1265,CWE-1265,CWE-1265 Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls
CWE-1269,CWE-1269,CWE-1269 Product Released in Non-Release Configuration
CWE-127,CWE-127,Buffer Under-read | Buffer Under-read (CWE-127) | CWE-127: Buffer Under-read
CWE-1270,CWE-1270,CWE-1270 Generation of Incorrect Security Tokens | CWE-1270: Generation of Incorrect Security Tokens
CWE-1272,CWE-1272,CWE-1272 Sensitive Information Uncleared Before Debug/Power State Transition | CWE-1272: Sensitive Information Uncleared Before Debug/Power State Transition
CWE-1274,CWE-1274,CWE-1274 | CWE-1274  Improper Access Control for Volatile Memory Containing Boot Code | CWE-1274 Improper Access Control for Volatile Memory Containing Boot Code
